timestamp,close,high,low,trade_count,open,volume,vwap,symbol
2024-09-03 10:00:00+02:00,4.38,4.4,4.33,19,4.33,3039,4.35863,WULF
2024-09-03 10:30:00+02:00,4.26,4.35,4.24,53,4.35,8871,4.278114,WULF
2024-09-03 11:00:00+02:00,4.27,4.28,4.26,15,4.28,3254,4.274512,WULF
2024-09-03 11:30:00+02:00,4.25,4.25,4.25,6,4.25,1219,4.25,WULF
2024-09-03 12:00:00+02:00,4.3,4.3,4.25,9,4.26,3700,4.274705,WULF
2024-09-03 12:30:00+02:00,4.3,4.3,4.28,6,4.28,878,4.285434,WULF
2024-09-03 13:00:00+02:00,4.3,4.34,4.3,35,4.31,3820,4.314479,WULF
2024-09-03 13:30:00+02:00,4.28,4.3,4.27,17,4.3,5972,4.277174,WULF
2024-09-03 14:00:00+02:00,4.3,4.34,4.27,102,4.3083,80166,4.295391,WULF
2024-09-03 14:30:00+02:00,4.29,4.32,4.29,23,4.3097,6510,4.306496,WULF
2024-09-03 15:00:00+02:00,4.24,4.3,4.23,97,4.2903,45757,4.270825,WULF
2024-09-03 15:30:00+02:00,4.09,4.26,4.07,4860,4.26,2654932,4.16053,WULF
2024-09-03 16:00:00+02:00,4.13,4.135,4.05,3723,4.095,1322654,4.102728,WULF
2024-09-03 16:30:00+02:00,4.04,4.165,4.0,4985,4.125,2370325,4.087385,WULF
2024-09-03 17:00:00+02:00,3.97,4.08,3.97,2669,4.045,1037245,4.020344,WULF
2024-09-03 17:30:00+02:00,3.92,3.99,3.91,2214,3.9799,971947,3.941276,WULF
2024-09-03 18:00:00+02:00,3.9101,3.95,3.9,2058,3.925,647302,3.922064,WULF
2024-09-03 18:30:00+02:00,3.862,3.92,3.85,1777,3.9101,745340,3.894481,WULF
2024-09-03 19:00:00+02:00,3.905,3.91,3.85,1582,3.86,544370,3.875764,WULF
2024-09-03 19:30:00+02:00,3.87,3.91,3.87,1300,3.9089,374979,3.887816,WULF
2024-09-03 20:00:00+02:00,3.85,3.88,3.84,1910,3.87,659665,3.858693,WULF
2024-09-03 20:30:00+02:00,3.85,3.87,3.8426,1431,3.8426,414259,3.856984,WULF
2024-09-03 21:00:00+02:00,3.845,3.87,3.84,2239,3.855,587764,3.854458,WULF
2024-09-03 21:30:00+02:00,3.815,3.847,3.79,5286,3.84,1738893,3.80743,WULF
2024-09-03 22:00:00+02:00,3.84,3.86,3.82,89,3.82,223869,3.822913,WULF
2024-09-03 22:30:00+02:00,3.84,3.84,3.82,39,3.84,11524,3.833222,WULF
2024-09-03 23:00:00+02:00,3.84,3.84,3.82,19,3.83,4184,3.835657,WULF
2024-09-03 23:30:00+02:00,3.85,3.85,3.82,11,3.84,3770,3.837466,WULF
2024-09-04 00:00:00+02:00,3.82,3.85,3.82,21,3.85,4749,3.830228,WULF
2024-09-04 00:30:00+02:00,3.84,3.84,3.81,7,3.81,18902,3.820688,WULF
2024-09-04 01:00:00+02:00,3.8299,3.84,3.8299,7,3.84,1065,3.833369,WULF
2024-09-04 01:30:00+02:00,3.8097,3.83,3.8,53,3.82,13446,3.808455,WULF
2024-09-04 10:00:00+02:00,3.69,3.89,3.68,66,3.89,15356,3.800765,WULF
2024-09-04 10:30:00+02:00,3.7,3.76,3.67,81,3.68,27198,3.703614,WULF
2024-09-04 11:00:00+02:00,3.74,3.75,3.71,46,3.71,9513,3.72575,WULF
2024-09-04 11:30:00+02:00,3.79,3.79,3.76,18,3.76,4964,3.77875,WULF
2024-09-04 12:00:00+02:00,3.76,3.77,3.71,25,3.77,4669,3.740575,WULF
2024-09-04 12:30:00+02:00,3.73,3.74,3.73,5,3.74,1000,3.735,WULF
2024-09-04 13:00:00+02:00,3.73,3.76,3.71,87,3.76,21520,3.739596,WULF
2024-09-04 13:30:00+02:00,3.72,3.76,3.72,43,3.74,20057,3.740589,WULF
2024-09-04 14:00:00+02:00,3.74,3.78,3.7,128,3.76,68202,3.724707,WULF
2024-09-04 14:30:00+02:00,3.73,3.79,3.71,128,3.75,48209,3.758847,WULF
2024-09-04 15:00:00+02:00,3.77,3.83,3.7302,79,3.7302,18583,3.775958,WULF
2024-09-04 15:30:00+02:00,3.69,3.78,3.59,7800,3.78,3693141,3.657344,WULF
2024-09-04 16:00:00+02:00,3.755,3.79,3.61,3889,3.69,1186466,3.717027,WULF
2024-09-04 16:30:00+02:00,3.93,3.93,3.75,4121,3.75,2454862,3.867754,WULF
2024-09-04 17:00:00+02:00,3.845,3.97,3.83,3555,3.9286,2222698,3.933157,WULF
2024-09-04 17:30:00+02:00,3.885,3.905,3.835,1495,3.84,735223,3.883122,WULF
2024-09-04 18:00:00+02:00,3.925,3.9399,3.8725,1431,3.885,471519,3.904143,WULF
2024-09-04 18:30:00+02:00,3.9643,3.97,3.93,1237,3.93,412996,3.949636,WULF
